id;owner;buyer
01H7HTRFQ2P83C2TBW6WH41XSJ;32;44
01H7HTRFQ39ES2X6X7HKWVTXYF;70;29
01H7HTRFQ3VV63X58RM2EDR8KC;47;60
01H7HTRFQ4607D0M12M6NVHZEH;97;55
01H7HTRFQ45N73W3MP10QTY7VK;90;68
01H7HTRFQ497JA5BJ7GRAAMJYC;52;83
01H7HTRFQ5N53SF1FC52PEMY4X;95;69
01H7HTRFQ53CGAQ6RV39Z5ZEFY;96;86
01H7HTRFQ6KAA5RXQ47R62BSSY;79;8
01H7HTRFQ6320B329PG012MWAX;39;66
01H7HTRFQ7GXN8W5380QHZ30PM;84;28
01H7HTRFQ7MKDVB4427057MHCM;42;37
01H7HTRFQ75515FD74VKEY9F96;46;74
01H7HTRFQ88YA4EAGWG8SR5KM4;52;42
01H7HTRFQ8A5FEMN997VZA58NQ;86;38
01H7HTRFQ866J03EEKBT87Y4RF;97;22
01H7HTRFQ96K1P3KVJFPAESS5V;15;28
01H7HTRFQ9S0B4ZS9X97H6FG96;38;30
01H7HTRFQ9SJZCVP62GY6NBCG8;29;56
01H7HTRFQA6XKDCVTWXMQTJWR1;78;26
01H7HTRFQANH7NQB7PJRYHVAMG;75;73
01H7HTRFQBJENZ6SQPR0W9R8P8;58;73
01H7HTRFQB57C7PY38BHFT7FNA;19;5
01H7HTRFQBTPT4GG3EFPSYJAVB;51;57
01H7HTRFQC99518CFYRKQ6ZXY2;53;46
01H7HTRFQCRAERN6GJGE1HFC4H;79;80
01H7HTRFQCAXHY35X3X6W03BH8;66;19
01H7HTRFQDWKQ6QKAT548SJS8B;6;44
01H7HTRFQDDCRKQGR1295RD2YB;3;7
01H7HTRFQD0PSR372S3Z8TTT1Q;57;23
01H7HTRFQEBG6RESNBDE02AHJM;98;58
01H7HTRFQE6DKATFKD8E5TJWT6;48;35
01H7HTRFQF8VMGKQ67SBKZR8C5;66;5
01H7HTRFQFH2EQ9HQZSBFFD6ZX;4;57
01H7HTRFQF01EHANBNVAT8QGX6;34;48
01H7HTRFQG9XV0BSETPJBVTN4P;75;68
01H7HTRFQGXPVSWNW19V2BYF6M;65;31
01H7HTRFQGHM4X9XJY9XYZR6KQ;82;60
01H7HTRFQH6EV6MX4SRRAMESNV;1;12
01H7HTRFQHCKTMDR9XPYQWHERN;46;80
01H7HTRFQHE0BYQDFD0T09NKHV;81;37
01H7HTRFQJHH559DA7WWD90A5C;18;35
01H7HTRFQJRYFJTDTCA54YW8ZA;46;35
01H7HTRFQKVQ3PYFMWE6TRN888;75;3
01H7HTRFQKQABV8DYJ9450J4P3;12;63
01H7HTRFQK3WV27ZEY34K8DCDG;11;45
01H7HTRFQMQ79DGTHQ2WA8Y968;71;27
01H7HTRFQMPXPNG9TKP4JC4T1K;62;68
01H7HTRFQMYFJ042AP4CFPVB7X;86;54
01H7HTRFQNFH84JR9XQ1M4F5HC;83;79
01H7HTRFQN94HW82ZRR33Y7RR1;29;40
01H7HTRFQNF2ZTV3EQ4G6E3HYY;90;47
01H7HTRFQNKQGNWJ4STSDY7XJ6;84;53
01H7HTRFQPZAGNJWMT51YMXWZ0;80;17
01H7HTRFQPSQJDTN0TRVSGPVA1;36;16
01H7HTRFQPBY31TEFW6S4G2J58;69;39
01H7HTRFQQ9GA796NTCJ9V3V6T;66;26
01H7HTRFQQKHN2DP8NGS93TF0R;19;85
01H7HTRFQQ89DKHMZZFJ0XWD77;53;84
01H7HTRFQRF82XWPPZKC24EN0M;28;35
01H7HTRFQRWG9SCNN9CN4K2NQJ;56;59
01H7HTRFQRFMQ7QR2ZF8TYV86E;10;50
01H7HTRFQSR6F2RR9YSVCS99KC;21;88
01H7HTRFQSZZ98HB2VETGGQXHS;28;93
01H7HTRFQSA2ZSXB6ZN66ATWH6;62;57
01H7HTRFQT862CVWK0D5YRV2D2;15;1
01H7HTRFQTGXAP18JTEN0CQBNX;34;9
01H7HTRFQTZXRP4FPCS902G6TT;17;70
01H7HTRFQTRDA3ADWW6XHMNWXP;55;73
01H7HTRFQV6QFXNCY04T8Z8MHM;3;92
01H7HTRFQVX3PPF661G23QTZX0;26;2
01H7HTRFQWQJW41VA8N8F86S1X;91;85
01H7HTRFQWKBZ5Q23X5GGK1A5M;57;84
01H7HTRFQW9V4PA3SF5A82Z9X4;90;84
01H7HTRFQWSNNDH8GNNHV98QBC;20;81
01H7HTRFQXGEZFE81DZJPBY32H;96;42
01H7HTRFQXS9A0A6X9G1XKE79G;5;94
01H7HTRFQX95X3FPJ18TPVJ8E1;72;62
01H7HTRFQYH7MPBP2QARWK8X4S;93;85
01H7HTRFQYV5R5S6DYPHD9JXWH;62;55
01H7HTRFQYHGMGYADMGBMFJT7F;1;89
01H7HTRFQZ37BD135CFQ45G6X6;55;68
01H7HTRFQZY3K1P1JM4AACPHT5;31;38
01H7HTRFQZY2601871D8G4Q1A6;6;96
01H7HTRFQZ489A64TXM3W0XJYV;62;17
01H7HTRFR0KJCQH8PNRNXNXCXH;100;57
01H7HTRFR0B0RNGRZKAC10Y5SQ;94;87
01H7HTRFR0H3QWQVR12ZSS1F0B;82;24
01H7HTRFR1XWJ7B4RX2KCFJCF8;37;50
01H7HTRFR1GGAWXY0B9NF8YM8Q;3;6
01H7HTRFR1MQ23HMYVVSVEMWZ5;4;57
01H7HTRFR25FXMHK5DPSAP5GC3;54;42
01H7HTRFR24HW2D2QH7J1C77S7;27;63
01H7HTRFR2XWMF99YE4E7XAP97;16;23
01H7HTRFR3WYAFHKCQ1DWWQG1H;87;85
01H7HTRFR35508CSN6BTJTNY4G;30;65
01H7HTRFR3B3KMWM2MJ9HA1SVR;65;46
01H7HTRFR39AW47Y6P0AWEHYQ8;46;4
01H7HTRFR4B8D88TMVMHKJ2QB4;92;13
01H7HTRFR40F345220T9FTK42J;61;37
01H7HTRFR4ZJM3A2367DZ08E0X;54;5
01H7HTRFR5C933MAN8XGANHFZ7;99;79
01H7HTRFR5VT74BQ57DB8AHP5B;63;71
01H7HTRFR5PDDRQ8TW7TE7KNR3;48;61
01H7HTRFR587Y9V7F8AT9G2F73;94;22
01H7HTRFR6RFX712PB0KCTCMMN;7;11
01H7HTRFR631ARCF2PSV641RK2;12;17
01H7HTRFR67XRC7HFSTA4FKXBR;28;89
01H7HTRFR7KX7MKXNT76XDBFBT;2;68
01H7HTRFR752ZW3MAH0G5NTM66;44;23
01H7HTRFR73RPVAVYQR7KKESEV;5;48
01H7HTRFR881WRQRPEN1AEF84K;8;49
01H7HTRFR8E28V14Q0B3KT5243;52;85
01H7HTRFR8FTMQEXJPAFDX9N8R;54;37
01H7HTRFR8N5Y1V2K0JNM0DY4Y;9;81
01H7HTRFR93CKCBVVC5K2KRNHD;4;93
01H7HTRFR9R9CRHJJBE3MNZTG9;66;94
01H7HTRFR9WBM1FP04F8C0BNZV;62;90
01H7HTRFRAK0YBXKTXHBHE4ZQT;97;72
01H7HTRFRA04NAJHNNWSE8CR1P;76;26
01H7HTRFRAH4TQF2616M23TDS9;47;83
01H7HTRFRBW8Q76MQWDJF39MKV;39;10
01H7HTRFRBC42JY718NAJ4P4KF;43;6
01H7HTRFRB23A9SNWAGD1Y5F4H;81;96
01H7HTRFRCREK7W6RRM9NRMKVS;35;39
01H7HTRFRCVETNMCXZW6C1GNKC;6;20
01H7HTRFRCHHKC81B1W7XSHDM7;48;7
01H7HTRFRCS8K72W0A75EFW31H;46;99
01H7HTRFRDARF0S1PWGN9FQ69D;68;62
01H7HTRFRDF23BM6N2T7K4W8K7;43;49
01H7HTRFRDPHSD6GM1TKNMWQ3H;93;97
01H7HTRFRERVSRGSY1RX8KBTZT;83;50
01H7HTRFREBWYGWDXBZNEP3TN9;99;41
01H7HTRFREG306608BPYJSBX44;1;4
01H7HTRFRFYN5T3Z81MCMAB246;22;76
01H7HTRFRF22FWNHZKPWN4YSQ0;58;57
01H7HTRFRFTQDJER3E2F7VKZF5;53;67
01H7HTRFRG6CPAT4ZB1DT044EE;33;8
01H7HTRFRG3P6Q8R505P1GK6VH;46;5
01H7HTRFRGXCBH5R7NRXQS4CNE;12;69
01H7HTRFRG5DZQDZ9TWRYWJPYZ;10;56
01H7HTRFRH7BSD4KV5WDD8B0XS;53;49
01H7HTRFRHHP9HV1WC6BEYD0K0;58;24
01H7HTRFRH3BYXS4QGD9FK1307;61;78
01H7HTRFRJ7C6YEN2202M9VT3G;19;54
01H7HTRFRJAMGEGR0XGM4PYPR9;17;16
01H7HTRFRKF8YZXA9DN2MPHJ9J;33;95
01H7HTRFRKX70H07SFZ3P9BAET;27;80
01H7HTRFRK35XKK6144GRZDAP0;8;61
01H7HTRFRMSD323BTH6G2QFA9J;79;10
01H7HTRFRM28E5KMD90Q2QJ7V3;36;32
01H7HTRFRMNQK8NP3TE105DAZ2;28;5
01H7HTRFRM0YMT3ZHD48C8QQQX;49;23
01H7HTRFRNT3YCX0BKVHZNDBYT;7;86
01H7HTRFRN61B7T9D4CSRSMSDC;66;8
01H7HTRFRNA3J8VSXC8T90PYMP;54;60
01H7HTRFRPHYW898K63101VGAB;45;54
01H7HTRFRPV1NTE7W3CJB4HKBW;15;31
01H7HTRFRPZ7Y9GXQB243YACCM;69;13
01H7HTRFRQ9CJXT1CK6JH2NYPF;99;37
01H7HTRFRQGQNCGBBTXN8XEWHF;31;97
01H7HTRFRQTDF4PEAR5DCP5GQC;32;89
01H7HTRFRRG1NXMRDA1GV475TV;9;37
01H7HTRFRRQNPWCN3WP47GZP7D;62;13
01H7HTRFRRHTY2C36Z9MRKX8TE;30;74
01H7HTRFRSYEJF6W315XZF9TWJ;5;74
01H7HTRFRSFNTWBHGHPMPYQNHH;42;57
01H7HTRFRSZXZCJPCRMPDGXJ2B;1;8
01H7HTRFRTE176EPNG4N2BTM21;67;57
01H7HTRFRTJ9PNR2VGBBPQK918;28;8
01H7HTRFRTHQNFC6BDTDEAHFK8;78;42
01H7HTRFRVF25MGB4X26BDJN7H;71;99
01H7HTRFRVASEY89N0FN2VP692;94;93
01H7HTRFRVT5YE70B838WHW2V7;63;47
01H7HTRFRWNGTS85H80RHBHSQG;60;86
01H7HTRFRWTG6ZM4Y9Q4YA65Z0;7;4
01H7HTRFRWSVY2PRXAH8P4WB32;73;38
01H7HTRFRW0T16T148DH0B2MK2;12;27
01H7HTRFRXQ2MX2VWNPVSA3P8R;1;24
01H7HTRFRXMHAMJBB2DQS9EXK9;36;48
01H7HTRFRX0MGHF99VAT6HTZEX;63;79
01H7HTRFRYNDGRW6W7FMXK1HY1;38;62
01H7HTRFRYYMMD04RSBF7KPP34;40;6
01H7HTRFRYSKP2NQHQNBSV8HWZ;35;83
01H7HTRFRZJTKDCEA11TRFXF6D;95;33
01H7HTRFRZEDNP3EX7KQ9NWG44;82;80
01H7HTRFRZHWHX7XYYSWJM8XYS;90;85
01H7HTRFS0V5FXRMS2KF8CY8ZQ;38;72
01H7HTRFS0TBH7JWYT59AX697Y;91;68
01H7HTRFS0XS4E583DHNHEDCXK;42;58
01H7HTRFS1DDTNKGMSP22TXV2B;97;33
01H7HTRFS1JZ68RS9XTA04NZDA;60;74
01H7HTRFS2VKGH8HBEZZD0C4PW;84;32
01H7HTRFS29ZZARVSBRR6GE0FQ;94;85
01H7HTRFS3GTKBV381GNGKC8K4;49;12
01H7HTRFS36DQBFMWP08ZSPQ87;76;64
01H7HTRFS3AT090T1YVXBSRH33;54;12
01H7HTRFS4GW3TX3Y0CD4N4HTD;57;32
01H7HTRFS4EFCCFVAJXR5B3Y1S;74;36
01H7HTRFS4AC3XF3SF33PE1675;54;13
01H7HTRFS5HPHCDSEJ48N62JNJ;83;28
01H7HTRFS52KM63N4ZBE1HHDZJ;45;40
01H7HTRFS6H8BGQBAJ1TBTSQ1D;46;63
01H7HTRFS6BMJX6M4X56P0X787;61;23
01H7HTRFS6DK1V5B2PJMNS5M3X;49;93
01H7HTRFS7G94P0FBAW9ABEJG8;40;80
01H7HTRFS7A3R64NR1QVV5DPN2;19;97
01H7HTRFS78VMXASNPBN278P9Z;19;49
01H7HTRFS8DRC7WYWAVR40QBJP;62;6
01H7HTRFS80TG8KQSES0KRSPD5;13;19
01H7HTRFS8P73ZPR9PREF4MADK;15;55
01H7HTRFS9FGW373ZK50RMDSSD;37;63
01H7HTRFS9SQFKVQWR7AR6JABF;26;97
01H7HTRFSAGFWQGNC7D7R3ND6X;74;100
01H7HTRFSAQGFQQEWMM593AENJ;66;25
01H7HTRFSBSKNR9ZTYP4GGEN10;52;64
01H7HTRFSBC8ACMAQK47VZZE9R;9;94
01H7HTRFSBRX4MD9T1HXB2613R;20;26
01H7HTRFSC5E7C00HP0AD07ZPR;84;20
01H7HTRFSCK9BZHYKPSEECEWN7;17;59
01H7HTRFSC5Q01NPMBE2Z1CSDM;79;4
01H7HTRFSDG7Y7BMMMZHETFNJ3;39;73
01H7HTRFSE43ANSK8NJCYKZPQ9;96;30
01H7HTRFSEZ3619JDT2V8BM9W9;57;1
01H7HTRFSF1A23Z5BQZDWG1QDZ;3;72
01H7HTRFSFBNMDVG7TFP5KPKEY;92;74
01H7HTRFSG2B010XD9XZ0BFFT7;76;76
01H7HTRFSG7QC47MYMQSR5EXQC;35;30
01H7HTRFSGHB2KFESGKR8BDJ69;43;12
01H7HTRFSHJ5B5K7E9J6KBR6GW;90;23
01H7HTRFSHWP0G1RFZ499D7M1W;78;68
01H7HTRFSH5SG8ATWZ7DBMSRM4;65;31
01H7HTRFSJ57NRSA3M1CK2K6P0;59;10
01H7HTRFSJ177FAP4R89RSYSX1;55;37
01H7HTRFSK1ETJK4V392711FJ3;85;81
01H7HTRFSKH9HBTMS46XENFD46;74;14
01H7HTRFSK71JVSFQ94644HAF1;17;23
01H7HTRFSM3ZZGAXDZ89GKC9MS;31;54
01H7HTRFSMTFFJ7YDDH61YB5J9;55;43
01H7HTRFSMVRENQ6S2TZP08VRV;97;82
01H7HTRFSNEJBPGD37CVXQSC2V;70;40
01H7HTRFSPMJABN8Y2XEKFCEHH;38;78
01H7HTRFSPKF2CA1RV3F2V5S7D;46;17
01H7HTRFSQVSDZ9B7MZ9QKZEMD;47;40
01H7HTRFSQ4X68B6023KQDX9AP;73;32
01H7HTRFSQWCJRA3G30CD70Y80;41;74
01H7HTRFSR3BJFZ207DE1ZR1E2;33;68
01H7HTRFSRRH5KFE20FEGGK5W8;40;56
01H7HTRFSRG76J1AR2CWE5SJBT;28;2
01H7HTRFSSCYJMC82QM5F1MHPJ;16;14
01H7HTRFSS34G77F7YFWE0MW93;66;26
01H7HTRFSS17KMN2BQECHWNMKE;95;82
01H7HTRFSTSYQTMZJ0SEBHQ8FB;91;64
01H7HTRFSTXP025RR56C8VP6CM;18;70
01H7HTRFSTE1ENWMGSRC7KQ8ZN;57;76
01H7HTRFSVTX5YG4WBNYHPQ8AE;43;55
01H7HTRFSV3JR8HT8ZWF4DFZ52;99;38
01H7HTRFSVR9TEF9EJYJFJD0N2;70;33
01H7HTRFSW4SGT90VS0AT12ST4;73;83
01H7HTRFSWWD0Y4Y8QQPEKKHQK;6;33
01H7HTRFSXWPP3B754JN7VN4AQ;1;80
01H7HTRFSX3CSZX05BZQJ7D6E1;76;97
01H7HTRFSXCRP4PZCZ197CEGXH;91;54
01H7HTRFSY4F25GWZJXG31GK89;67;11
01H7HTRFSY0RS146DQEXCP9H7N;32;10
01H7HTRFSY78AREBNQ2MVJGNBV;84;66
01H7HTRFSZQHS5JJVQYGY4GBFX;48;74
01H7HTRFSZCDP82T3225EHECQP;15;25
01H7HTRFT0AYCMNPBA58THD739;90;40
01H7HTRFT01480TMZBER6AZJZ2;94;100
01H7HTRFT0EWJ7MA9NPBKSJ4YC;69;36
01H7HTRFT16GBMRBXQCMD25GZR;85;7
01H7HTRFT19R048H1SWPE0S76J;58;41
01H7HTRFT18RRSWE3RM23NEMC5;75;66
01H7HTRFT2ANHT0MTKMG995NPH;61;19
01H7HTRFT2NRB2F91HBWW0FJC2;25;38
01H7HTRFT3T5V7E3MWN1J3X8B5;37;43
01H7HTRFT3R9RV06R0EYNW30E0;56;27
01H7HTRFT3K58CNXVV03G9QSVR;33;92
01H7HTRFT4R3D4E76ZGNA3SR4D;94;90
01H7HTRFT4E560KAS9AAAWE4RN;45;40
01H7HTRFT41ZBTM832P5N8R4B8;42;16
01H7HTRFT5T00J60V7PZD2J9M9;45;82
01H7HTRFT54QR7VGZX3MEPCBYZ;77;49
01H7HTRFT508PA3TH2KC9KRHC2;41;2
01H7HTRFT5C2FSGPH0K0NTQEK2;97;13
01H7HTRFT621REGT17647BNJ3W;8;67
01H7HTRFT64WNRT3TJD772MF62;13;25
01H7HTRFT6RX58GM6RZP93EPWS;2;32
01H7HTRFT7VXTGEX0JPPFFYGAD;40;46
01H7HTRFT7139QDVZJKHEAJ7RA;55;91
01H7HTRFT7EH9BNW5BVRKEZRGN;54;29
01H7HTRFT82NQ9PXEYQRNPSHGJ;2;61
01H7HTRFT8BK3BZH8M0P3D3MFC;36;18
01H7HTRFT9DM7PPC17NXQMKQCB;76;77
01H7HTRFT9TNRWSAYC758GBRFS;82;68
01H7HTRFTA6S99GWNCV1G88PJC;31;99
01H7HTRFTAJ91X3MRCNQ5Y15WW;14;76
01H7HTRFTBVB2KA6KJ7FYSC00S;88;73
01H7HTRFTBT5A0FJWNR0591MFH;2;16
01H7HTRFTCSSEW9J995YAC7HCF;26;62
01H7HTRFTCY3QCYVKRYMWQ5AGA;93;49
01H7HTRFTD1JERCS177W78DTCM;41;37
01H7HTRFTDZ1FBXTCA35PMEQA5;97;100
01H7HTRFTE5S7S9TYX1SKQNWG3;21;25
01H7HTRFTEBTR8PPR8PTWF7P1Q;58;9
01H7HTRFTFXJ32GATM161X535D;55;76
01H7HTRFTFRW47VKD2WK110AY1;16;64
01H7HTRFTF54ZXKFTYR6THYQ27;4;26
01H7HTRFTG4PKXXY0K9CR59BT6;54;69
01H7HTRFTGFNK5W9P4YJRDVQ3Y;2;45
01H7HTRFTGFM1HRXTTX3T5GPJQ;76;21
01H7HTRFTGSAJ2EJ0VWQBP7FFP;50;31
01H7HTRFTH4BHMYXHBNFNCYVRN;67;84
01H7HTRFTHNRDJYJ5AMFDEHJF1;31;5
01H7HTRFTHVMFE2WXK3XFNPZT3;31;28
01H7HTRFTHGA928VCWC484RYBW;55;41
01H7HTRFTJHWNTN2ZPW3MCP4T2;96;41
01H7HTRFTJ3H12BZ4R9VFFMT86;23;92
01H7HTRFTJEK84NS1EYGZ25NJA;35;81
01H7HTRFTKV914CQYK2HHRNJK3;56;8
01H7HTRFTK2NHT37S3HHX76RHN;4;74
01H7HTRFTKN77ZC6E7Y16V7PNB;48;27
01H7HTRFTM9E5QTAK3ERM4830K;8;4
01H7HTRFTMEZ61RKZZ91RXAKR5;16;75
01H7HTRFTMW7V7E5GDNC5VKW8F;46;76
01H7HTRFTMEFBWGG1SS4MGWBHH;10;26
01H7HTRFTNEX0W3W7FSQXFTPZK;99;91
01H7HTRFTNJBBQQP138WEC35HR;6;30
01H7HTRFTN7NF8HAXA90HX8Y76;17;33
01H7HTRFTNZ3H0DG4E0TYTT2XC;74;62
01H7HTRFTPR0GJG293CREKRDY9;17;35
01H7HTRFTP5JW7WD3MDKH7TNZ4;7;22
01H7HTRFTPCYD1RA562380H086;24;18
01H7HTRFTP0QYPNN0H16EVC8T4;86;4
01H7HTRFTQ7BPSVDEPCWBKJXRB;25;70
01H7HTRFTQ089VZZ0M14SFWJY7;22;93
01H7HTRFTQJFHVTRDE4R4TGK1H;22;5
01H7HTRFTQ4P5MG0KZRCG5TW8B;23;71
01H7HTRFTR3X663XT9BBHDK5HG;30;53
01H7HTRFTRGV1M7JEABDVEBTQP;48;88
01H7HTRFTRZHWXM6KD53VCE146;69;2
01H7HTRFTSC2XC97DF6VBXGZHX;19;32
01H7HTRFTS9XPKD6XRZNDVS5TG;37;8
01H7HTRFTSKDN0QFXYWZM0V87S;98;64
01H7HTRFTSYPVK3M5JGQ3YHGP8;53;51
01H7HTRFTTF0YXHB494CVJXSN7;27;91
01H7HTRFTTV7EHAPN0CMN4DZHD;70;27
01H7HTRFTT8WYFYGF1EWSPPKBE;94;65
01H7HTRFTVSG8G5XSYH65M1SXW;90;69
01H7HTRFTV6GEAPS8WWVZVPR86;13;45
01H7HTRFTVZ85SCR0J5ZHNBHN0;58;87
01H7HTRFTW6FTQR9503X9WN9Q3;52;48
01H7HTRFTWKG8D32PD6DT2Y2CF;21;14
01H7HTRFTW3X3RT1K45YZK912Z;76;95
01H7HTRFTWWE02FHCKV2J5R6KW;32;37
01H7HTRFTX9E8WT4T1SSC2PP2P;95;4
01H7HTRFTXQJPJ7NTE3H7K6H4A;100;76
01H7HTRFTXD2PF39B7ATC2Y508;83;77
01H7HTRFTX4EQGB6Q48YNY1BY0;66;42
01H7HTRFTYF8MEKP040GDJEZNB;88;55
01H7HTRFTY5091H0JWFSMAM2X3;55;11
01H7HTRFTYYD5Q1M6ANCGKDEG9;72;40
01H7HTRFTZQCDAREG32SSKHF03;36;57
01H7HTRFTZAMVVYMT4P7YXHJG3;8;67
01H7HTRFTZFMZEYFW00HSP3832;7;92
01H7HTRFTZT8QRSF4CFPYJ12A3;40;1
01H7HTRFV0AR04KYVQSYG88FNR;48;84
01H7HTRFV0M4YHTAP09Q3C89WD;72;38
01H7HTRFV0E4JECBP1VY5DAVJ5;68;88
01H7HTRFV1V1SXE7W18AB74RY8;98;93
01H7HTRFV1RTXRXVH14SJWNTHC;35;53
01H7HTRFV17749RK10VF0J7RHJ;60;17
01H7HTRFV1E7N6KR6BPTNHRNM9;87;21
01H7HTRFV2SZMFJSX1CP8DMPS8;10;22
01H7HTRFV2SQANZC40ANAD992P;51;49
01H7HTRFV26VYKNRS9JRA69H0D;23;18
01H7HTRFV3G9MPDK5727ZY0MFA;38;42
01H7HTRFV3238A0ZD0RG4QPYP1;70;97
01H7HTRFV36N0MPE3SWB746NRX;4;39
01H7HTRFV4KKHJ06RN18SFSRB0;31;74
01H7HTRFV4E5T6N46FW0WD112V;55;32
01H7HTRFV4RG68HHQBM88ZDYY7;20;78
01H7HTRFV4K5ZNY9FJV4BKR0AY;20;14
01H7HTRFV5QNP8PAGVMWP6PYTZ;36;56
01H7HTRFV502TK0XDDCQVB4ABC;34;1
01H7HTRFV5V6GVQPYKRC2SPWS5;10;75
01H7HTRFV6XP3A91ZXGFE3KHXV;55;20
01H7HTRFV6WJZ8S0VKW0FQR52E;32;33
01H7HTRFV61ASBZ13SDG3QQZZC;88;59
01H7HTRFV730QZQJ4E8PYE1A01;60;58
01H7HTRFV7K4B4H3GBERKP8DG8;78;66
01H7HTRFV7Y5CFW2W44TE90549;38;48
01H7HTRFV83MN2RV7YP2DKQNST;32;92
01H7HTRFV8YQMJS2KX37Y5GE3X;20;39
01H7HTRFV87CQPQ8B1HMM6W5ZB;91;38
01H7HTRFV8VETDFMXNVTK5GV3K;90;30
01H7HTRFV9TCMCR5BWKPF5FB42;68;88
01H7HTRFV9D3VNTXFC3WV7589D;24;100
01H7HTRFV9J8XC8MMGXXP0ZJJ2;62;48
01H7HTRFVAY3JXBT5QEV0AJ9FF;96;58
01H7HTRFVA7J9NHMS0BT9A8Y35;14;28
01H7HTRFVAT47PQQMP28QP30SM;22;61
01H7HTRFVBR08ZKGKEMWRW4BKY;55;85
01H7HTRFVB0A2JP0YR1GJRC338;68;8
01H7HTRFVB3GH786SXNNGZBKP3;17;39
01H7HTRFVC1WQCA84ZFJ4RRW4T;17;4
01H7HTRFVCD4V6TXT8DP40EC71;96;89
01H7HTRFVCF9MNA5N4SE3X2MM0;50;61
01H7HTRFVCGG3MMQFH52NDH6Q7;42;5
01H7HTRFVDEK77NQXCCYXS9XGH;38;96
01H7HTRFVD31XDA4F8NCBY2FQS;63;39
01H7HTRFVD9Y8YQ7AB302TWX08;91;65
01H7HTRFVEZY8ENVS676VNXSQZ;6;42
01H7HTRFVE9XNKMEST0H7E1V71;69;47
01H7HTRFVEQK7J5MTDDXFTDTM7;54;93
01H7HTRFVFDPQ9V8S04XVBRXBN;60;85
01H7HTRFVFAGJTR9GA5XNC1F5Q;69;59
01H7HTRFVFFYN33TCC5K4VYYB4;43;1
01H7HTRFVFA8W59NKAF2HANV0P;85;8
01H7HTRFVG3NEV0Q4PBCYDK6EY;2;8
01H7HTRFVGTBNFNR6TZSR5QK23;30;33
01H7HTRFVG9CQX7P0A7A8SAQQ1;49;67
01H7HTRFVHSZBK5M3PBGJC0H2V;69;33
01H7HTRFVH5EXNQDH69TW3NXF2;93;98
01H7HTRFVHHH4KPWGYQGRR90JZ;93;26
01H7HTRFVHRG0JDFR196PH931A;66;81
01H7HTRFVJ74TX88H33724ZD1F;20;28
01H7HTRFVJ2VZ18KM9765JYK7X;72;29
01H7HTRFVJNAKAPZNSEQ2XJR2V;15;96
01H7HTRFVKYF3Y7MMHA6GF4YV4;95;72
01H7HTRFVK3T6NNMFHPDZYSYGE;9;4
01H7HTRFVKVZEQE84WA64CRQ7X;71;71
01H7HTRFVKHH1XMWXCMEW4NMFY;20;47
01H7HTRFVMCPDDY3P8MHE56P8W;24;3
01H7HTRFVMN6YMWP2F30SS1MT4;11;59
01H7HTRFVMXD6H2Q69JZNG3G3X;65;95
01H7HTRFVNRFJFQ9ZQ254HX0CT;36;94
01H7HTRFVN4MXD6Z2VV57VQ83C;54;67
